f,s,ti,vi,ta,va,tl,vl,lr
1,1,"[2, 4]",[1],0.988600958650281,0.9862090875272703,0.00031747593311592937,0.00010570098675088957,0.1
1,1,"[1, 4]",[2],0.9914284265274808,0.9994680716166883,0.0001640909758862108,2.8984823075006716e-06,0.1
1,1,"[1, 2]",[4],0.9980330366907333,0.9832806293469616,0.00012572122795972973,0.00019729722407646477,0.1
0.75,1,"[2, 4]",[1],0.9893839424537034,0.9993209788449674,0.0006151424022391438,9.999028407037258e-06,0.1
0.75,1,"[1, 4]",[2],0.9984075421756108,0.9997297718004688,0.0004988994915038347,5.189267994865077e-06,0.1
0.75,1,"[1, 2]",[4],0.9964195082450301,0.9946733584637836,0.0001508467539679259,7.299210847122595e-05,0.1
0.5,1,"[2, 4]",[1],0.9972489490348102,0.9996471176322733,0.00010525857214815915,9.571325790602714e-06,0.1
0.5,1,"[1, 4]",[2],0.9855890235338515,0.9970936378793659,0.0007053634617477655,5.75895537622273e-05,0.1
0.5,1,"[1, 2]",[4],0.9942761186870518,0.9877082894127578,0.0001434844161849469,0.00012277383939363062,0.1
0.25,1,"[2, 4]",[1],0.9989911957528865,0.9936558614184244,0.00021578151790890843,0.00017945833678822964,0.1
0.25,1,"[1, 4]",[2],0.9987438926390877,0.9981810925099432,0.00010280220158165321,3.6223507777322084e-05,0.1
0.25,1,"[1, 2]",[4],0.999890874430035,0.9092697600531509,6.130320252850652e-05,0.0006386549212038517,0.1
0.1,1,"[2, 4]",[1],0.999349609003837,0.9940986856692015,2.6442838134244084e-05,0.00014767551328986883,0.1
0.1,1,"[1, 4]",[2],0.999879086372942,0.9974054685579017,2.1911515432293527e-05,6.430354551412165e-05,0.1
0.1,1,"[1, 2]",[4],0.9996129684579856,0.9866260995933798,1.3667738130607177e-05,0.0001669867051532492,0.1
0.05,1,"[2, 4]",[1],0.9998467857292092,0.9990504220768035,1.4574059605365619e-05,0.00010687663598218933,0.1
0.05,1,"[1, 4]",[2],0.9999858454103321,0.9935393298789827,1.229018198500853e-05,0.0002904289576690644,0.1
0.05,1,"[1, 2]",[4],0.9999144741262095,0.9691343803838295,5.285603492666269e-06,0.009897378273308277,0.1
0.01,1,"[2, 4]",[1],0.9999888301193933,0.9548732462706221,1.4225151971913874e-06,0.0750429555773735,0.1
0.01,1,"[1, 4]",[2],0.9999777304896081,0.8660423075430487,2.2995488961896626e-06,0.13972729444503784,0.1
0.01,1,"[1, 2]",[4],1.0,-4.761053585639591,0.0,24.026309967041016,0.1
1,0.75,"[2, 4]",[1],0.9956592679500045,0.9995895525694266,0.0002352311130380258,1.0248231774312444e-05,0.1
1,0.75,"[1, 4]",[2],0.9960575379835197,0.9982736818551847,0.00042102154111489654,1.9726428945432417e-05,0.1
1,0.75,"[1, 2]",[4],0.9972249068148803,0.9919046738041212,0.0003074927954003215,0.0001599462702870369,0.1
1,0.5,"[2, 4]",[1],0.9954119345693146,0.9997530531260523,0.00036598648875951767,3.5101295452477643e-06,0.1
1,0.5,"[1, 4]",[2],0.9903793173111085,0.9971132574175638,0.00023070373572409153,1.9903380234609358e-05,0.1
1,0.5,"[1, 2]",[4],0.9907759136859035,0.9825095970120207,0.0003098848683293909,0.0003070934908464551,0.1
1,0.25,"[2, 4]",[1],0.9843250599042297,0.990871777079579,0.0003623245866037905,0.00015825792797841132,0.1
1,0.25,"[1, 4]",[2],0.9970905672733772,0.9988812323378446,9.88557148957625e-05,3.4091408451786265e-05,0.1
1,0.25,"[1, 2]",[4],0.9912623062783572,0.9699866084274147,0.0004713845846708864,0.00045197788858786225,0.1
1,0.1,"[2, 4]",[1],0.9841172977354504,0.9943750333527773,0.0006486627971753478,9.807689639274031e-05,0.1
1,0.1,"[1, 4]",[2],0.9899237731373136,0.9926557727899894,0.0006229769205674529,0.00025981038925237954,0.1
1,0.1,"[1, 2]",[4],0.9891489297474235,0.9661084206612718,0.0004004291258752346,0.0003816317766904831,0.1
1,0.05,"[2, 4]",[1],0.934653468035598,0.9899835392284939,0.0028905223589390516,0.00055400823475793,0.1
1,0.05,"[1, 4]",[2],0.9803884244587785,0.9507717931432706,0.0025307165924459696,0.0019220837857574224,0.1
1,0.05,"[1, 2]",[4],0.9922997842222397,0.9702176192767447,0.00017463156837038696,0.0007100930670276284,0.1
1,0.01,"[2, 4]",[1],0.9775931830947229,0.9749654348037553,0.0034395335242152214,0.002436929615214467,0.1
1,0.01,"[1, 4]",[2],0.9667725890189018,0.99282506833615,0.005342215299606323,0.0006968975067138672,0.1
1,0.01,"[1, 2]",[4],0.9879127297318284,0.9641271780647174,0.002208277815952897,0.00868234969675541,0.1
