f;s;ti;vi;ta;va;tl;vl;lr
1.0;1.0;[2, 4];[1];0.988600958650281;0.9862090875272704;0.0003174759331159;0.0001057009867508;0.1
1.0;1.0;[1, 4];[2];0.9914284265274808;0.9994680716166884;0.0001640909758862;2.898482307500672e-06;0.1
1.0;1.0;[1, 2];[4];0.9980330366907332;0.9832806293469616;0.0001257212279597;0.0001972972240764;0.1
0.75;1.0;[2, 4];[1];0.9893839424537034;0.9993209788449674;0.0006151424022391;9.999028407037258e-06;0.1
0.75;1.0;[1, 4];[2];0.9984075421756108;0.9997297718004688;0.0004988994915038;5.189267994865077e-06;0.1
0.75;1.0;[1, 2];[4];0.99641950824503;0.9946733584637836;0.0001508467539679;7.299210847122595e-05;0.1
0.5;1.0;[2, 4];[1];0.9972489490348102;0.9996471176322732;0.0001052585721481;9.571325790602714e-06;0.1
0.5;1.0;[1, 4];[2];0.9855890235338516;0.997093637879366;0.0007053634617477;5.75895537622273e-05;0.1
0.5;1.0;[1, 2];[4];0.9942761186870518;0.9877082894127578;0.0001434844161849;0.0001227738393936;0.1
0.25;1.0;[2, 4];[1];0.9989911957528864;0.9936558614184244;0.0002157815179089;0.0001794583367882;0.1
0.25;1.0;[1, 4];[2];0.9987438926390876;0.9981810925099432;0.0001028022015816;3.622350777732208e-05;0.1
0.25;1.0;[1, 2];[4];0.999890874430035;0.9092697600531509;6.130320252850652e-05;0.0006386549212038;0.1
0.1;1.0;[2, 4];[1];0.999349609003837;0.9940986856692016;2.6442838134244084e-05;0.0001476755132898;0.1
0.1;1.0;[1, 4];[2];0.999879086372942;0.9974054685579016;2.1911515432293527e-05;6.430354551412165e-05;0.1
0.1;1.0;[1, 2];[4];0.9996129684579856;0.9866260995933798;1.3667738130607177e-05;0.0001669867051532;0.1
0.05;1.0;[2, 4];[1];0.9998467857292092;0.9990504220768036;1.457405960536562e-05;0.0001068766359821;0.1
0.05;1.0;[1, 4];[2];0.999985845410332;0.9935393298789827;1.229018198500853e-05;0.000290428957669;0.1
0.05;1.0;[1, 2];[4];0.9999144741262096;0.9691343803838296;5.285603492666269e-06;0.0098973782733082;0.1
0.01;1.0;[2, 4];[1];0.9999888301193932;0.954873246270622;1.4225151971913874e-06;0.0750429555773735;0.1
0.01;1.0;[1, 4];[2];0.999977730489608;0.8660423075430487;2.299548896189662e-06;0.1397272944450378;0.1
0.01;1.0;[1, 2];[4];1.0;-4.761053585639591;0.0;24.026309967041016;0.1
1.0;0.75;[2, 4];[1];0.9956592679500044;0.9995895525694266;0.000235231113038;1.0248231774312444e-05;0.1
1.0;0.75;[1, 4];[2];0.9960575379835196;0.9982736818551848;0.0004210215411148;1.9726428945432417e-05;0.1
1.0;0.75;[1, 2];[4];0.9972249068148804;0.9919046738041212;0.0003074927954003;0.000159946270287;0.1
1.0;0.5;[2, 4];[1];0.9954119345693146;0.9997530531260524;0.0003659864887595;3.5101295452477643e-06;0.1
1.0;0.5;[1, 4];[2];0.9903793173111084;0.9971132574175638;0.000230703735724;1.990338023460936e-05;0.1
1.0;0.5;[1, 2];[4];0.9907759136859036;0.9825095970120208;0.0003098848683293;0.0003070934908464;0.1
1.0;0.25;[2, 4];[1];0.9843250599042296;0.990871777079579;0.0003623245866037;0.0001582579279784;0.1
1.0;0.25;[1, 4];[2];0.9970905672733772;0.9988812323378446;9.88557148957625e-05;3.4091408451786265e-05;0.1
1.0;0.25;[1, 2];[4];0.9912623062783572;0.9699866084274148;0.0004713845846708;0.0004519778885878;0.1
1.0;0.1;[2, 4];[1];0.9841172977354504;0.9943750333527772;0.0006486627971753;9.807689639274032e-05;0.1
1.0;0.1;[1, 4];[2];0.9899237731373136;0.9926557727899894;0.0006229769205674;0.0002598103892523;0.1
1.0;0.1;[1, 2];[4];0.9891489297474236;0.9661084206612718;0.0004004291258752;0.0003816317766904;0.1
1.0;0.05;[2, 4];[1];0.934653468035598;0.989983539228494;0.002890522358939;0.0005540082347579;0.1
1.0;0.05;[1, 4];[2];0.9803884244587784;0.9507717931432706;0.0025307165924459;0.0019220837857574;0.1
1.0;0.05;[1, 2];[4];0.9922997842222396;0.9702176192767448;0.0001746315683703;0.0007100930670276;0.1
1.0;0.01;[2, 4];[1];0.9775931830947228;0.9749654348037552;0.0034395335242152;0.0024369296152144;0.1
1.0;0.01;[1, 4];[2];0.9667725890189018;0.99282506833615;0.0053422152996063;0.0006968975067138;0.1
1.0;0.01;[1, 2];[4];0.9879127297318284;0.9641271780647174;0.0022082778159528;0.0086823496967554;0.1
