model_architecture;ti;vi;tl;vl;ta;va;lr;tl_mean;tl_std;vl_mean;vl_std;ta_mean;ta_std;va_mean;va_std
'smp.Unet';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.004456980619579554, 0.0057375431060791016, 0.0053155506029725075, 0.005664455704391003, 0.007447271607816219, 0.008755943737924099, 0.0061635589227080345, 0.005800856277346611, 0.004900885745882988, 0.007620173040777445];[0.025855138897895813, 0.022898387163877487, 0.02890012599527836, 0.022998005151748657, 0.022392742335796356, 0.022965116426348686, 0.026570729911327362, 0.02258419618010521, 0.022730838507413864, 0.024174274876713753];[3.254272591912688e-05, 1.6422631944013055e-05, 5.280250250372376e-05, 1.2337432416242855e-05, 3.559141446718428e-05, 3.43928440327268e-06, 3.847721362526535e-06, 4.670184022559365e-05, 1.3113570850209477e-05, 3.9756977594396226e-05];[1.2036468199916328e-07, 1.311768746958819e-07, 1.1501828467430641e-07, 1.3994075631629244e-07, 1.4155234473456346e-07, 1.4140592730083057e-07, 1.483452721773304e-07, 1.3756986338986366e-07, 1.4697827266374475e-07, 1.3129132991895887e-07];0.01;0.006186321936547756;0.0012756542753844622;0.024206955544650556;0.002077271532867055;2.5655610168628938e-05;1.7070361265237693e-05;1.3536436078709356e-07;1.037816995327034e-08
'smp.Unet';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004861422348767519, 0.0048035369254648685, 0.004071084316819906, 0.004627221263945103, 0.005910541862249374, 0.0056738280691206455, 0.004604119807481766, 0.004754970781505108, 0.005180505104362965, 0.004939909093081951];[0.00801757350564003, 0.009919336065649986, 0.011131292209029198, 0.012292196974158287, 0.010620910674333572, 0.009208600036799908, 0.010113433934748173, 0.009976322762668133, 0.010703710839152336, 0.01205427385866642];[0.8966568528836113, 0.752537975221151, 0.8997644599121687, 0.8743384525406992, 0.9178424520163072, 0.8693098383491907, 0.8908487560077384, 0.9116163042528689, 0.8999154705428267, 0.9902274426552287];[0.7489793223746967, 0.8357796779088278, 0.8029841779734154, 0.8337835289365156, 0.7667164399436515, 0.7502114346196728, 0.839048365488965, 0.8906336833674127, 0.7887571026461235, 0.8739600822630809];0.01;0.004942713957279921;0.0005062526182517473;0.010403765086084604;0.0012075085890751248;0.8903058004381791;0.055762839141093236;0.8130853815522361;0.04716321391565819
'smp.Unet';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006521518807858229, 0.0071188402362167835, 0.006094946060329676, 0.006187399849295616, 0.006337602622807026, 0.0071035996079444885, 0.006023083347827196, 0.006224682554602623, 0.0066686272621154785, 0.006127123720943928];[0.0005577015690505505, 0.0007950830040499568, 0.0008025803253985941, 0.0014928916934877634, 0.00019020633772015572, 0.0005146508337929845, 0.0006205005338415504, 0.0014435889897868037, 0.0008299163309857249, 0.0007397872395813465];[0.9200685440118248, 0.914339965629611, 0.8312911392099375, 0.7985466542438804, 0.8641903710649421, 0.9315018164153733, 0.8249077455640278, 0.9062641244898417, 0.8437246655314761, 0.9987291392477659];[0.6092889445413655, 0.39980180079005145, 0.18826945306396858, 0.3315519099292151, 0.6744093164315369, 0.6160134912049918, 0.5506685014440712, 0.31431689124555373, 0.624131931959196, 0.3528051144150063];0.01;0.006440742406994104;0.00038360470262078757;0.000798690685769543;0.0003798737931405973;0.8833564165408682;0.05806816458746172;0.4661257355024957;0.1593920048503807
'smp.Unet:attention';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0039888592436909676, 0.0037160241045057774, 0.004492929670959711, 0.0036506596952676773, 0.0035855204332619905, 0.004846385680139065, 0.003474127734079957, 0.003134030383080244, 0.004637429490685463, 0.00477446848526597];[0.016623904928565025, 0.014920617453753948, 0.016918977722525597, 0.018042568117380142, 0.014363288879394531, 0.015025878325104713, 0.015943842008709908, 0.015878908336162567, 0.017915990203619003, 0.01587633416056633];[0.9631177143880751, 0.9290965608832918, 0.865165453563332, 0.9892207719235471, 0.640459924501801, 0.8347251143533196, 0.8934136255456079, 0.8526532385928564, 0.912374445124552, 0.9426564360927463];[0.5349031518805691, 0.5541270923021632, 0.5233613086185297, 0.5257078488750737, 0.5545941061475079, 0.5909656690503026, 0.5225857058788945, 0.5238240148808522, 0.49818839386655955, 0.5487197624281538];0.01;0.004030043492093682;0.0005794379569090631;0.016151031013578176;0.0011693882965079607;0.882288328496913;0.09313800002191944;0.5376977053928607;0.024193616476900794
'smp.Unet:attention';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004109369590878487, 0.004953513387590647, 0.004356434103101492, 0.003704755799844861, 0.003910356666892767, 0.004218516871333122, 0.004980254918336868, 0.004373065195977688, 0.003715400118380785, 0.004144349135458469];[0.009074116125702858, 0.009416894987225533, 0.009354893118143082, 0.008084014058113098, 0.010225506499409676, 0.009164831601083279, 0.009222704917192459, 0.008683041669428349, 0.008847936056554317, 0.00844914186745882];[0.8466035332057948, 0.8909905611440744, 0.9343923445359179, 0.9515795223493002, 0.9467373001116232, 0.9638550640301013, 0.9915647674643269, 0.8531676146839073, 0.9164109703208305, 0.9786006716899222];[0.9494636104579088, 0.8518600463964675, 0.8105187098152903, 0.8534798988218402, 0.8858976634843864, 0.8195001704063596, 0.9069562934174183, 0.9095231358043154, 0.8893773275295509, 0.853562241929502];0.01;0.004246601578779518;0.00042248516777084377;0.009052308090031148;0.00055880018468413;0.9273902349535798;0.047497360296253385;0.8730139098063038;0.04091469112469923
'smp.Unet:attention';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006305536720901728, 0.005220226943492889, 0.006695291958749294, 0.006220926530659199, 0.00715604517608881, 0.006359012797474861, 0.005996942985802889, 0.007177109830081463, 0.006252598483115435, 0.007561856880784035];[0.0004840437904931605, 0.00013320797006599605, 0.0008370988070964813, 0.0008700339822098613, 0.0007982651004567742, 0.00028034180286340415, 0.0008639793959446251, 0.00016929034609347582, 0.0005323592340573668, 0.0003466577618382871];[0.9554879017844665, 0.8813599646084275, 0.9591145830626389, 0.9197781284282212, 0.9721695126297162, 0.8299526161500321, 0.9849827794011512, 0.9396715966053035, 0.902201461855694, 0.8420146635921295];[0.18741950281463715, -2.8987122910183785, 0.8395559281211934, 0.6752273739928755, 0.7340612404653748, -0.5986394085426501, 0.9192577096762504, -2.1868288651282715, 0.5143031404257884, -0.1812345552647956];0.01;0.006494554830715061;0.0006435777953388496;0.0005315278191119433;0.0002791118674319559;0.9186733208117781;0.05109135537375069;-0.1995590224457976;1.2657816200837717
'smp.UnetPlusPlus';['data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/1.jpg'];[0.0036390433087944984, 0.0029849885031580925, 0.0040827542543411255, 0.004078904166817665, 0.0027187676168978214, 0.0045739952474832535, 0.004332078155130148, 0.003723344299942255, 0.0037716333754360676, 0.003528224304318428];[0.01322256587445736, 0.012627553194761276, 0.015154846012592316, 0.013236729428172112, 0.013579737395048141, 0.01402978040277958, 0.012971663847565651, 0.012296768836677074, 0.012798339128494263, 0.012715594843029976];[0.905423303169333, 0.9401132048568176, 0.9737037011174825, 0.9955910773831785, 0.990146171951743, 0.8735987971918402, 0.8159680441594489, 0.9231540766136705, 0.8578952822536029, 0.8955343221134321];[0.7469752929952855, 0.8179585386077437, 0.7710142897464538, 0.7525148922668013, 0.7206065166225859, 0.7560349262211077, 0.7567137094324802, 0.7942622535319268, 0.7638085604948703, 0.7641226614934717];0.01;0.0037433733232319355;0.0005429184613634445;0.013263357896357774;0.0007878777867023697;0.917112798081055;0.05611905086705866;0.7644011641412727;0.025092320906619735
'smp.UnetPlusPlus';['data/images/1.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg', 'data/images/QS_7510.jpg'];['data/images/2.jpg'];[0.004528731107711792, 0.004073176067322493, 0.00475668627768755, 0.004941338673233986, 0.004064336884766817, 0.006964702624827623, 0.00394546939060092, 0.00382256880402565, 0.004801838658750057, 0.005107808392494917];[0.009605839848518372, 0.011106276884675026, 0.007838989607989788, 0.00897275097668171, 0.01220883708447218, 0.009120216593146324, 0.008360056206583977, 0.011354955844581127, 0.009130939841270447, 0.009531723335385323];[0.7366228189370495, 0.9340507658778571, 0.9847655317307827, 0.9334544211294851, 0.996787936435986, 0.6952966224123778, 0.9224987726734145, 0.962940031630958, 0.687531974080245, 0.9554791685471625];[0.8266541345714562, 0.8722076242066563, 0.7611210856090918, 0.7598142273760105, 0.850822525656913, 0.8025180634536341, 0.7524857271287544, 0.8259969364557843, 0.7749732806557164, 0.7849859482942064];0.01;0.00470066568814218;0.0008679009649997986;0.009723058622330426;0.001322509042062405;0.8809428043455318;0.11682628322397508;0.8011579553408223;0.03925801396179808
'smp.UnetPlusPlus';['data/images/1.jpg', 'data/images/2.jpg', 'data/images/4.jpg', 'data/images/QS_7415.jpg', 'data/images/QS_7506.jpg', 'data/images/QS_7508.jpg'];['data/images/QS_7510.jpg'];[0.006602503824979067, 0.0054091173224151134, 0.0064513301476836205, 0.005634917411953211, 0.005216727964580059, 0.0060279457829892635, 0.006089327856898308, 0.005062885582447052, 0.0058499774895608425, 0.00555130559951067];[0.00040621357038617134, 0.0012071371311321855, 0.0009512045653536916, 0.000735362758859992, 0.0009408086771145463, 0.00011869941226905212, 8.538185647921637e-05, 0.0003751574840862304, 0.0005271363770589232, 0.000286292313830927];[0.9298955920451698, 0.9356763149928129, 0.8521693796684501, 0.9673493846123846, 0.956327991445102, 0.9861645837996231, 0.9484311382963417, 0.9635251419926627, 0.8988875335025013, 0.9894882613574739];[0.8698054536412101, 0.6589458115231863, 0.5929445511178684, 0.4998142413752278, 0.5344090416377737, 0.19256039017323545, -0.5365448989229236, 0.8202313117484572, 0.827950078655405, 0.8323215957504511];0.01;0.00578960389830172;0.00048277992548566024;0.0005633394146570935;0.00036073603022100545;0.9427915321712522;0.03958116334128267;0.5292437576699892;0.40654298769528063
